,index,Time_s,Ext_Disp_mm,Force_N,Globe_Disp_1_mm,Globe_Disp_2_mm,Stress_Mpa,Strain_mm/mm,DerivitiveForce,AveragedSamples,Ext_Strain_mm/mm
0,17,1.7,0.004386,-0.281238,-0.01482,-0.041179,0.10008469750889679,0.0004174647887323944,2.0866952499999996,,
1,18,1.8,0.006236,0.560661,-0.005369,-0.05314,0.19952348754448396,0.0001512394366197183,,,
2,19,1.9,0.000785,0.887612,-0.003965,0.01733,0.3158761565836299,0.00011169014084507041,,,
3,20,2.0,0.001522,0.566449,-0.005256,0.045831,0.20158327402135232,0.00014805633802816902,,,
4,21,2.1,-0.009479,0.054916,0.001129,0.057762,0.01954306049822064,3.180281690140845e-05,,,
5,22,2.2,0.003616,-0.975055,-0.006651,-0.018314,0.3469946619217082,0.00018735211267605634,,1.498935,
6,23,2.3,-0.003995,6.34943,-0.007964,0.021404,2.2595836298932386,0.0002243380281690141,,,
7,24,2.4,0.000356,8.241686,-0.006121,0.023424,2.9329843416370105,0.0001724225352112676,,,
8,25,2.5,-0.006671,14.536855,0.014958,0.112808,5.173258007117437,0.00042135211267605637,,,
9,26,2.6,-0.003399,21.788569,0.068212,0.330501,7.753939145907473,0.0019214647887323942,,,
10,27,2.7,-0.001366,22.670319,0.158988,0.673447,8.067729181494661,0.0044785352112676055,61.388845749999994,,
11,28,2.8,-0.007109,31.729534,0.174393,0.697546,11.291649110320284,0.004912478873239436,,,0.00020025352112676057
12,29,2.9,-0.010876,41.843429,0.194827,0.789944,14.8909,0.0054880845070422535,,,0.0003063661971830986
13,30,3.0,-0.003478,47.768817,0.233742,0.92883,16.99957900355872,0.0065842816901408455,,,9.79718309859155e-05
14,31,3.1,-0.000462,57.689121,0.246037,0.960095,20.529936298932384,0.006930619718309859,,,1.3014084507042255e-05
15,32,3.2,-0.006288,68.325116,0.26039,1.045451,24.31498790035587,0.007334929577464789,,62.88778075,0.00017712676056338029
16,33,3.3,-0.011632,77.768069,0.294916,1.181941,27.675469395017792,0.008307492957746479,,,0.0003276619718309859
17,34,3.4,-0.007322,85.278685,0.314906,1.260922,30.348286476868324,0.008870591549295774,,,0.00020625352112676058
18,35,3.5,-0.004786,92.488143,0.341243,1.281095,32.91392989323843,0.009612478873239436,,,0.0001348169014084507
19,36,3.6,0.000105,103.078257,0.336353,1.064501,36.6826537366548,0.009474732394366197,,,2.9577464788732396e-06
20,37,3.7,0.001888,112.182749,0.385461,0.889009,39.92268647686833,0.01085805633802817,99.60514699999999,,5.3183098591549295e-05
21,38,3.8,0.005824,123.532353,0.393965,0.875467,43.961691459074736,0.011097605633802817,,,0.00016405633802816903
22,39,3.9,-0.000851,134.347468,0.428331,0.912421,47.81048683274021,0.012065661971830986,,,2.3971830985915493e-05
23,40,4.0,0.00753,146.697873,0.451824,0.858008,52.20564875444839,0.01272743661971831,,,0.00021211267605633803
24,41,4.1,0.00553,157.614857,0.473688,0.888959,56.09069644128114,0.013343323943661972,,,0.00015577464788732394
25,42,4.2,0.011341,166.594212,0.480102,0.870451,59.286196441281135,0.013524,,162.49292774999998,0.0003194647887323944
26,43,4.3,0.003535,179.064769,0.512211,0.852602,63.72411708185054,0.014428478873239435,,,9.957746478873239e-05
27,44,4.4,0.006109,191.834678,0.53533,0.867874,68.26856868327403,0.015079718309859155,,,0.0001720845070422535
28,45,4.5,0.011858,199.554056,0.569843,0.888499,71.01567829181495,0.016051915492957747,,,0.0003340281690140845
29,46,4.6,0.01038,208.651349,0.579971,0.963688,74.2531491103203,0.016337211267605633,,,0.0002923943661971831
30,47,4.7,0.00398,219.439306,0.598116,0.83741,78.09227971530248,0.016848338028169013,95.12396474999997,,0.00011211267605633803
31,48,4.8,0.007671,226.342729,0.612347,0.855118,80.54901387900355,0.017249211267605633,,,0.00021608450704225352
32,49,4.9,0.008755,234.204102,0.628688,0.786984,83.34665551601424,0.017709521126760563,,,0.0002466197183098592
33,50,5.0,0.017638,242.681887,0.635919,0.721065,86.36366085409252,0.017913211267605634,,,0.0004968450704225352
34,51,5.1,0.008355,251.787688,0.671639,0.785838,89.60415943060498,0.018919408450704226,,,0.00023535211267605632
35,52,5.2,0.018255,262.244895,0.69611,0.839023,93.32558540925267,0.019608732394366196,,257.61689249999995,0.000514225352112676
36,53,5.3,0.020814,273.7531,0.717514,0.814695,97.42103202846975,0.020211661971830986,,,0.0005863098591549295
37,54,5.4,0.017271,282.926988,0.730313,0.766681,100.68576085409252,0.020572197183098592,,,0.00048650704225352117
38,55,5.5,-0.001259,291.156254,0.739323,0.675921,103.6143252669039,0.020825999999999997,,,3.546478873239436e-05
39,56,5.6,0.015913,299.093028,0.758338,0.690872,106.4388,0.0213616338028169,,,0.0004482535211267606
40,57,5.7,0.019405,306.908664,0.788935,0.750398,109.22016512455515,0.022223521126760563,92.43080625000005,,0.0005466197183098591
41,58,5.8,0.015951,313.897149,0.809377,0.772504,111.70717046263346,0.022799352112676058,,,0.0004493239436619718
42,59,5.9,0.026373,327.044174,0.815723,0.74049,116.38582704626334,0.022978112676056338,,,0.0007429014084507043
43,60,6.0,0.018606,336.072959,0.820072,0.722325,119.59891779359431,0.02310061971830986,,,0.000524112676056338
