,Time_s,Ext_Disp_mm,Force_N,Globe_Disp_1_mm,Globe_Disp_2_mm,Stress_Mpa,Strain_mm/mm
0,0.0,-0.001653,3.675479,-0.005291,0.013409,1.4850420202020203,0.00015407687827606289
1,0.1,-0.003078,3.190875,-0.009541,-0.062372,1.2892424242424243,0.0002778392545136866
2,0.2,-0.000159,2.991282,-0.005145,-0.020778,1.2085987878787878,0.00014982527664531158
3,0.3,-0.009901,4.398791,0.005627,0.036134,1.777289292929293,0.00016386138613861385
4,0.4,-0.001682,2.989452,-0.002068,0.022106,1.2078593939393938,6.022131624927198e-05
5,0.5,-0.013137,2.95851,0.000894,0.018015,1.1953575757575756,2.603377984857309e-05
6,0.6,-0.009347,2.932848,0.000273,0.025465,1.1849890909090908,7.949912638322656e-06
7,0.7,-0.00357,3.531266,0.009506,0.07656,1.4267741414141413,0.0002768200349446709
8,0.8,-0.001949,4.725933,0.002146,0.050489,1.909467878787879,6.24927198602213e-05
9,0.9,0.004606,3.132851,0.00405,0.031772,1.2657983838383837,0.00011793826441467674
10,1.0,-0.003024,2.537955,-0.009154,-0.01544,1.0254363636363637,0.0002665695981362842
11,1.1,-0.003724,6.346043,0.006886,0.059526,2.5640577777777778,0.0002005241700640652
12,1.2,0.005333,9.61581,0.000965,0.030284,3.8851757575757575,2.8101339545719277e-05
13,1.3,0.000488,12.560922,-0.016496,-0.080387,5.07512,0.00048037274315666854
14,1.4,-0.004574,17.282808,0.013122,0.04761,6.9829527272727265,0.00038211997670355266
15,1.5,0.001095,12.254707,-0.000177,-0.002823,4.951396767676767,5.154338963308095e-06
16,1.6,0.004669,9.299753,0.006447,0.02801,3.75747595959596,0.00018774024461269654
17,1.7,0.003918,8.832293,0.008251,-0.011147,3.568603232323232,0.00024027373325567847
18,1.8,0.003445,9.592362,-0.00091,-0.005035,3.8757018181818177,2.649970879440885e-05
19,1.9,-0.006371,11.106676,0.000311,-0.015396,4.487545858585858,9.056493884682586e-06
20,2.0,-0.000539,10.785093,0.016049,0.097197,4.357613333333333,0.000467355853232382
21,2.1,0.007013,15.175719,0.037448,0.111929,6.131603636363637,0.0010905066977285962
22,2.2,-0.003479,27.283141,0.056498,0.212755,11.023491313131313,0.001645253348864298
23,2.3,0.003328,39.823699,0.08784,0.408895,16.090383434343433,0.0025579499126383225
24,2.4,-0.004718,47.571012,0.120703,0.422446,19.220610909090908,0.003514938846825859
25,2.5,-0.001029,51.851193,0.201643,0.777224,20.94997696969697,0.00587195690157251
26,2.6,0.004077,57.306331,0.25538,0.978837,23.15407313131313,0.007436808386721025
27,2.7,0.000441,63.892789,0.288066,1.086882,25.81526828282828,0.008388642981945253
28,2.8,0.003219,72.46294,0.302736,1.191193,29.277955555555558,0.008815841584158416
29,2.9,0.005569,84.820154,0.336498,1.317606,34.270769292929295,0.0097990099009901
30,3.0,0.00495,99.264823,0.364424,1.36821,40.10699919191919,0.010612230634828189
31,3.1,0.009117,114.857984,0.387089,1.376153,46.40726626262626,0.011272248107163657
32,3.2,-0.006292,125.745031,0.409019,1.386281,50.80607313131313,0.011910861968549796
33,3.3,-0.006596,139.186787,0.439204,1.373254,56.23708565656566,0.01278986604542807
34,3.4,0.00724,158.904015,0.496383,1.477585,64.20364242424242,0.014454950495049504
35,3.5,0.005934,176.315546,0.511009,1.225474,71.23860444444445,0.01488086779266162
36,3.6,0.003521,191.860592,0.534943,1.100062,77.5194311111111,0.015577839254513684
37,3.7,0.013712,205.469322,0.56772,1.108974,83.01790787878788,0.016532323820617353
38,3.8,0.01241,217.150305,0.572802,1.049245,87.73749696969696,0.016680314502038437
39,3.9,0.006404,228.745106,0.605974,1.062193,92.42226505050505,0.01764630168899243
40,4.0,0.010083,249.354501,0.645881,1.102038,100.74929333333333,0.01880841584158416
41,4.1,0.003896,267.548253,0.675937,1.132768,108.10030424242423,0.01968366336633663
42,4.2,0.004154,282.274564,0.720087,1.22442,114.05032888888888,0.02096933605125218
43,4.3,0.006183,299.711344,0.735726,1.165629,121.09549252525252,0.021424752475247524
44,4.4,0.004851,318.32341,0.793307,1.167226,128.6155191919192,0.023101543389633078
45,4.5,0.009577,337.690014,0.821425,1.223299,136.4404096969697,0.023920355270821196
46,4.6,0.011552,354.759585,0.848246,1.229303,143.33720606060606,0.024701397786837505
47,4.7,0.006665,368.401709,0.867939,1.171114,148.84917535353534,0.02527486895748398
48,4.8,0.005756,378.928532,0.910706,1.326108,153.10243717171718,0.026520267909143854
49,4.9,0.014217,390.183996,0.930948,1.28298,157.65009939393937,0.027109726266744318
50,5.0,0.011578,408.713562,0.977015,1.298675,165.13679272727273,0.028451223063482814
51,5.1,0.008008,425.962043,1.013756,1.32896,172.10587595959595,0.029521141525917297
52,5.2,0.007786,436.179038,1.036144,1.238098,176.23395474747474,0.03017309260337798
53,5.3,0.016937,449.306766,1.078796,1.346381,181.53808727272727,0.03141514269073966
54,5.4,0.008395,462.505416,1.13357,1.337034,186.87087515151515,0.03301019219569015
55,5.5,0.019712,479.524869,1.165822,1.344871,193.74742181818183,0.03394938846825858
56,5.6,0.018865,496.33827,1.214685,1.444479,200.54071515151514,0.03537230634828188
57,5.7,0.009131,504.03577,1.24977,1.496215,203.65081616161615,0.03639400116482236
58,5.8,0.007378,516.409547,1.290873,1.501748,208.650322020202,0.03759094350611531
59,5.9,0.020837,531.879652,1.325567,1.545614,214.90086949494946,0.03860125218404193
60,6.0,0.018353,549.511124,1.346218,1.452069,222.02469656565657,0.03920262085032032
61,6.1,0.024285,561.504663,1.416113,1.574203,226.87057090909093,0.041238002329644724
62,6.2,0.014652,574.454655,1.478441,1.738224,232.1028909090909,0.04305302853814792
63,6.3,0.019446,586.017183,1.5047,1.673686,236.77461939393942,0.04381770529994175
64,6.4,0.02654,595.099829,1.551832,1.650725,240.44437535353535,0.04519021549213745
65,6.5,0.024514,608.110913,1.574326,1.607475,245.70137898989898,0.04584525334886429
66,6.6,0.023659,620.864841,1.611036,1.553866,250.8544812121212,0.04691426907396621
67,6.7,0.032479,641.10332,1.653972,1.58994,259.03164444444445,0.048164589400116475
68,6.8,0.039464,657.49809,1.723329,1.6937,265.65579393939396,0.05018430401863715
