,index,Time_s,Ext_Disp_mm,Force_N,Globe_Disp_1_mm,Globe_Disp_2_mm,Stress_Mpa,Strain_mm/mm,DerivitiveForce,AveragedSamples,Ext_Strain_mm/mm
0,17,1.7,-0.008388,-1.208133,-0.011602,-0.012105,0.526007053291536,0.0003382507288629738,12.715805499999997,,
1,18,1.8,0.004006,-3.317845,-0.007866,-0.029329,1.444551114594218,0.00022932944606413996,,,
2,19,1.9,0.000933,-1.2504,0.005634,-0.053803,0.5444096133751306,0.00016425655976676386,,,
3,20,2.0,0.001054,-4.219167,0.027065,0.117069,1.836976227795193,0.000789067055393586,,,
4,21,2.1,-0.003842,12.899329,0.046221,0.194786,5.616217781260884,0.0013475510204081632,,,
5,22,2.2,-0.003782,23.049107,0.09507,0.388986,10.035313044235457,0.002771720116618076,,16.2079105,
6,23,2.3,0.00142,33.102373,0.128656,0.483219,14.412388105189828,0.0037509037900874636,,,
7,24,2.4,0.011959,41.147092,0.174494,0.710935,17.914965168930685,0.00508728862973761,,,
8,25,2.5,0.007419,53.635392,0.208888,0.847333,23.352225705329154,0.006090029154518951,,,
9,26,2.6,0.013147,64.995211,0.241527,0.955889,28.298158742598396,0.007041603498542275,,,
10,27,2.7,0.009435,77.644513,0.25724,1.056726,33.80551767676768,0.007499708454810497,125.15427725,,
11,28,2.8,0.0071,87.049318,0.281542,1.128648,37.90026036224312,0.008208221574344024,,,0.00020699708454810498
12,29,2.9,0.007322,102.143319,0.314965,1.207803,44.47201280041797,0.00918265306122449,,,0.00021346938775510207
13,30,3.0,0.008493,120.651284,0.370301,1.347196,52.530165447579236,0.01079594752186589,,,0.00024760932944606416
14,31,3.1,0.017412,137.030376,0.39217,1.364679,59.66143155694879,0.011433527696793004,,,0.0005076384839650146
15,32,3.2,0.00933,149.97013,0.426101,1.303865,65.29524991292233,0.012422769679300293,,141.36218775,0.0002720116618075802
16,33,3.3,0.017148,157.796961,0.451987,1.275128,68.70296107628005,0.013177463556851314,,,0.0004999416909620991
17,34,3.4,0.014178,168.425074,0.484564,1.218996,73.33031783350748,0.01412723032069971,,,0.0004133527696793003
18,35,3.5,0.019788,180.882924,0.505648,1.158713,78.75432079414837,0.01474192419825073,,,0.0005769096209912537
19,36,3.6,0.012539,203.495508,0.560255,1.248944,88.59957680250783,0.01633396501457726,,,0.00036556851311953355
20,37,3.7,0.018131,218.893949,0.577713,1.259781,95.30387887495645,0.016842944606413997,152.18418999999997,,0.0005286005830903791
21,38,3.8,0.007188,233.887721,0.606962,1.276742,101.83199277255311,0.01769568513119534,,,0.00020956268221574345
22,39,3.9,0.016436,249.988511,0.626493,1.236452,108.84208942877045,0.018265102040816328,,,0.0004791836734693878
23,40,4.0,0.014734,269.796533,0.650178,1.101811,117.46627176941831,0.018955626822157436,,,0.0004295626822157435
24,41,4.1,0.028231,285.879017,0.677822,1.124908,124.46839820619991,0.019761574344023328,,,0.0008230612244897959
25,42,4.2,0.032078,300.834057,0.733265,1.194314,130.97964864158828,0.02137798833819242,,293.54637775,0.0009352186588921284
26,43,4.3,0.022304,317.675904,0.744102,1.149599,138.31239289446185,0.021693935860058314,,,0.000650262390670554
27,44,4.4,0.021318,335.938414,0.776069,1.145558,146.2636772901428,0.02262591836734694,,,0.0006215160349854228
28,45,4.5,0.014862,354.291914,0.810624,1.202941,154.25457767328456,0.023633352769679303,,,0.00043329446064139946
29,46,4.6,0.010595,372.62272,0.843048,1.110246,162.23559735283874,0.024578658892128284,,,0.0003088921282798834
30,47,4.7,0.017305,385.214485,0.891632,1.2335,167.71790534656913,0.02599510204081633,167.74398524999998,,0.0005045189504373178
31,48,4.8,0.022471,400.28082,0.927314,1.253222,174.27761233019854,0.027035393586005832,,,0.000655131195335277
32,49,4.9,0.026057,420.807191,0.956764,1.292335,183.21455546847787,0.02789399416909621,,,0.0007596793002915453
33,50,5.0,0.023596,437.823825,1.008493,1.407881,190.62339994775337,0.029402128279883387,,,0.000687930029154519
