,index,Time_s,Ext_Disp_mm,Force_N,Globe_Disp_1_mm,Globe_Disp_2_mm,Stress_Mpa,Strain_mm/mm,DerivitiveForce,AveragedSamples,Ext_Strain_mm/mm
0,17,1.7,-0.002892,-0.5248551014361214,-0.005043108811218003,0.053038,0.26911441893830707,0.00018596915633504687,0.3591051038105112,,
1,18,1.8,0.004797,-0.3245753581686581,-0.0025213634365842874,0.049998,0.03158608321377332,0.00011439371031146053,,,
2,19,1.9,0.005801,-0.24267811297761294,-0.002888116740417348,0.004623,0.006803263988522239,0.00011505896583005745,,,
3,20,2.0,-0.000482,-0.35971979498400924,-0.0028380833860123917,0.094221,0.11698780487804879,8.203810099788328e-05,,,
4,21,2.1,0.001997,-0.34294728213143516,0.008784511867134005,0.105413,0.053984218077474895,0.0011442697308739038,,,
5,22,2.2,0.003307,0.198879084191832,0.01941093704795286,0.159169,0.27859487087517937,0.0013902933172059268,,0.4494852668033525,
6,23,2.3,0.008493,2.3017290601370224,0.01976752646282347,0.095414,1.355605093256815,0.0006247051708497128,,,
7,24,2.4,0.004448,5.003173614383588,0.012037661759159622,0.042192,2.108462159253946,0.00022035077109162384,,,
8,25,2.5,0.005975,9.513733438845419,-0.006127955886314554,-0.119844,3.728503048780488,0.0015585727245237375,,,
9,26,2.6,0.008886,10.546637313461012,-0.027242539918796112,-0.225829,2.3545367647058826,0.0024199879044451166,,,
10,27,2.7,0.003198,10.399261509615009,-0.04079238565628293,-0.245735,1.798927905308465,0.0022578469912307225,29.25982859838306,,
11,28,2.8,0.00072,11.228723935439291,-0.048504561183059236,-0.21584,2.385649210903874,0.002049742969458724,,,2.177199879044451e-05
12,29,2.9,-0.001415,14.011479953885207,-0.05054040084504231,-0.164238,3.7604680774748926,0.001682189295433928,,,4.278802540066526e-05
13,30,3.0,0.001608,18.784667681346576,-0.045741714889315936,-0.090769,5.508901901004305,0.0010204112488660416,,,4.8624130631992745e-05
14,31,3.1,0.004378,25.227297772390408,-0.0429820820637971,-0.219199,7.412817969870875,0.0010911097671605684,,,0.00013238584820078622
15,32,3.2,0.008045,33.18925183742172,-0.05697005861699793,-0.405732,9.52190405308465,0.002780163289990928,,29.709313865186413,0.00024327184759600847
16,33,3.3,0.002295,41.63603816958694,-0.08752804186928423,-0.558305,11.254125538020086,0.004956849107952827,,,6.939824614454188e-05
