,Time_s,Ext_Disp_mm,Force_N,Globe_Disp_1_mm,Globe_Disp_2_mm,Stress_Mpa,Strain_mm/mm,DerivitiveForce,AveragedSamples
37,3.7,-0.262615,45.898511,0.293383,0.399216,8.745905297256098,0.009217185045554509,106.77009225,
38,3.8,-0.257938,59.487168,0.305741,0.30235,11.33520731707317,0.009605435124096765,,
39,3.9,-0.268565,74.473289,0.314885,0.317216,14.190794397865853,0.009892711278667924,,
40,4.0,-0.265522,92.436221,0.344076,0.378176,17.61360918445122,0.010809802073515552,,
41,4.1,-0.260378,109.492205,0.365762,0.399112,20.863606135670732,0.011491109016650958,,
42,4.2,-0.259907,126.890625,0.364554,0.441321,24.178853849085364,0.01145315739868049,,118.33397475000001
43,4.3,-0.256203,144.516848,0.437963,0.539637,27.537509146341463,0.013759440779139178,,
44,4.4,-0.251434,163.1013,0.440547,0.488837,31.07875381097561,0.013840622054665411,,
45,4.5,-0.246181,186.103074,0.458696,0.528311,35.461713795731704,0.014410807414388941,,
46,4.6,-0.244473,210.872724,0.493108,0.6477,40.18154039634146,0.015491925856110589,,
47,4.7,-0.243977,234.520169,0.502724,0.61481,44.6875322027439,0.015794030788564246,219.33371049999997,
48,4.8,-0.250675,259.287435,0.556997,0.741713,49.406904535060974,0.017499120326735784,,
49,4.9,-0.238071,280.708817,0.575031,0.757598,53.48872275152439,0.01806569274269557,,
50,5.0,-0.239704,302.781868,0.62382,0.815754,57.69471570121951,0.019598491988689917,,
51,5.1,-0.228838,325.611222,0.6344,0.785458,62.0448212652439,0.019930882814954445,,
52,5.2,-0.233769,348.137094,0.651526,0.848296,66.33709870426829,0.020468928683631798,,337.66768525
53,5.3,-0.229616,374.140557,0.677698,0.702561,71.29202686737804,0.021291171850455547,,
54,5.4,-0.229765,394.649194,0.707709,0.778796,75.19992263719513,0.022234024505183792,,
55,5.5,-0.224242,424.193696,0.743446,0.836086,80.82959146341463,0.02335677034244424,,
56,5.6,-0.223837,449.55877,0.797409,0.891933,85.66287538109755,0.02505212064090481,,
57,5.7,-0.219895,475.430527,0.825072,0.943206,90.59270712652439,0.02592120640904807,247.01678600000002,
58,5.8,-0.221892,500.379392,0.858329,0.88399,95.34668292682926,0.0269660383286208,,
59,5.9,-0.221986,524.549325,0.869053,0.860266,99.9522341844512,0.027302953188815583,,
60,6.0,-0.221129,547.271424,0.894413,0.801476,104.28190243902439,0.028099685830977068,,
61,6.1,-0.222589,572.67222,0.911095,0.805306,109.1219931402439,0.028623782595036132,,
62,6.2,-0.209893,598.449093,0.950919,0.878012,114.03374485518292,0.02987492931196984,,584.68447125
63,6.3,-0.215681,620.345148,0.974416,0.869751,118.20601143292683,0.030613132265158657,,
64,6.4,-0.203855,644.35508,1.016734,0.907368,122.78107469512196,0.031942632736412194,,
65,6.5,-0.202746,672.41656,1.025867,0.826324,128.12815548780486,0.03222956330505813,,
66,6.6,-0.206018,697.587073,1.069183,0.805224,132.92436604420732,0.033590417844800505,,
67,6.7,-0.212715,731.651437,1.091338,0.774617,139.4152890625,0.03428645931511153,281.3041562500001,
68,6.8,-0.200976,766.972343,1.126028,0.785092,146.1456446265244,0.035376311655670754,,
69,6.9,-0.194321,797.648133,1.16274,0.863175,151.99087900152438,0.0365296889726673,,
70,7.0,-0.201459,822.877036,1.178288,0.828047,156.7982157012195,0.03701815896952561,,
71,7.1,-0.199605,850.589647,1.199075,0.842645,162.07881993140242,0.037671222117499216,,
72,7.2,-0.190612,879.817003,1.241003,0.854779,167.64805697408536,0.038988469996858316,,865.9886275000001
73,7.3,-0.200078,910.670824,1.288047,0.918936,173.5272149390244,0.040466446748350614,,
74,7.4,-0.188623,943.79335,1.315205,0.882256,179.838671875,0.04131966698083569,,
75,7.5,-0.182669,981.095553,1.346296,0.934,186.94656116615852,0.04229644989004084,,
76,7.6,-0.182144,1020.389418,1.385045,0.921675,194.43395922256096,0.043513823437009116,,
77,7.7,-0.166843,1051.181013,1.435845,1.012571,200.30126009908534,0.04510980207351555,323.894249,
78,7.8,-0.164442,1083.238233,1.451645,0.95528,206.40972427591464,0.04560618912975181,,
79,7.9,-0.174757,1112.824447,1.479134,0.927037,212.04734127286585,0.046469808356896014,,
80,8.0,-0.17358,1144.36495,1.520704,0.998233,218.05734565548778,0.04777580898523406,,
81,8.1,-0.172365,1176.95362,1.545973,1.02751,224.2670769817073,0.04856968268928684,,
82,8.2,-0.171352,1204.980634,1.565048,0.94746,229.60759032012194,0.04916896010053409,,1189.8828764999998
83,8.3,-0.174324,1233.232302,1.598308,0.904932,234.99091120426826,0.050213886270813704,,
84,8.4,-0.169006,1261.21979,1.632857,0.927436,240.32389291158538,0.05129930882814955,,
85,8.5,-0.168058,1289.993021,1.644514,0.882931,245.80659698932925,0.05166553565818411,,
86,8.6,-0.156299,1317.825049,1.681758,0.871633,251.1099559832317,0.05283562676720076,,
87,8.7,-0.14379,1344.947187,1.713946,0.814465,256.2780463033536,0.0538468740182218,207.96124525000005,
88,8.8,-0.147717,1359.475208,1.748742,0.873985,259.0463429878049,0.05494005655042413,,
89,8.9,-0.127841,1376.692582,1.782882,0.882865,262.3270926067073,0.05601262959472197,,
90,9.0,-0.114225,1388.757465,1.825539,0.902844,264.6260413490853,0.057352780395852974,,
91,9.1,-0.097781,1399.61526,1.859311,0.915046,266.6949809451219,0.05841379202010682,,
92,9.2,-0.080576,1399.940471,1.861549,0.865647,266.75694950457313,0.05848410304743952,,1397.8441217499999
93,9.3,-0.076092,1403.063291,1.888459,0.862478,267.3519990472561,0.05932953188815583,,
94,9.4,-0.037627,1404.697715,1.949255,0.925601,267.6634365472561,0.06123955387998743,,
95,9.5,-0.030352,1408.459416,1.974986,0.955746,268.38022408536585,0.06204794219289978,,
96,9.6,0.000309,1414.811599,2.016656,0.989866,269.5906248094512,0.06335708451146717,,
97,9.7,0.024681,1417.864086,2.046282,0.974456,270.1722724847561,0.06428784165881245,33.99266975000023,
98,9.8,0.051928,1418.414658,2.088527,0.9909,270.2771833079268,0.06561504869619855,,
99,9.9,0.058463,1422.533454,2.136563,1.040871,271.06201486280486,0.06712419101476595,,
100,10.0,0.093029,1425.867231,2.159237,0.979813,271.69726200457313,0.06783653785736726,,
101,10.1,0.114967,1429.76065,2.184872,0.951072,272.4391482469512,0.06864191014765944,,
102,10.2,0.132191,1432.254959,2.212151,1.034894,272.91443578506096,0.06949893182532203,,1431.8367915000001
103,10.3,0.163213,1439.464326,2.232161,0.999652,274.288171875,0.07012758404021364,,
104,10.4,0.180163,1442.159839,2.284755,0.981045,274.801798589939,0.0717799245994345,,
105,10.5,0.207917,1446.614635,2.326292,1.037502,275.65065453506094,0.07308488846999686,,
106,10.6,0.234936,1448.178084,2.352977,0.983341,275.94856783536585,0.07392324850769715,,
107,10.7,0.254103,1451.41425,2.360877,0.924126,276.5652153201219,0.07417144203581527,35.23423624999964,
108,10.8,0.265822,1451.289772,2.39599,0.907614,276.5414961890244,0.0752745837260446,,
109,10.9,0.291907,1455.673627,2.424544,0.848383,277.37683441310975,0.07617166195413133,,
110,11.0,0.313061,1459.388807,2.443068,0.824597,278.0847574314024,0.07675362865221488,,
111,11.1,0.337353,1467.141101,2.503092,0.932847,279.56194759908533,0.07863939679547598,,
112,11.2,0.358653,1471.444203,2.510702,0.874826,280.3818984375,0.07887847942192901,,1467.0710277499998
113,11.3,0.3701,1470.31,2.525227,0.866224,280.1657774390244,0.07933480992774113,,
114,11.4,0.389409,1477.136479,2.567073,0.826037,281.4665546875,0.08064948162111217,,
115,11.5,0.406655,1478.797349,2.595684,0.794436,281.78303144054877,0.08154835061262959,,
116,11.6,0.425783,1480.204061,2.638714,0.833362,282.0510786966463,0.08290021991831605,,
117,11.7,0.450349,1483.152184,2.67298,0.915607,282.6128399390244,0.08397675149230287,25.547573500000226,
118,11.8,0.473553,1486.927267,2.691185,0.860933,283.33217740091465,0.08454869619855483,,
119,11.9,0.489107,1489.770928,2.74644,0.94332,283.87403353658533,0.08628463713477852,,
120,12.0,0.511584,1491.303786,2.773342,0.970448,284.16611775914635,0.08712981464027647,,
121,12.1,0.53349,1493.507219,2.812088,0.909357,284.58597923018294,0.08834709393653786,,
122,12.2,0.548362,1491.897745,2.808876,0.871999,284.2792959222561,0.08824618284637135,,1492.61860125
123,12.3,0.570949,1493.765655,2.848484,0.942605,284.63522389481705,0.08949054351240968,,
124,12.4,0.585566,1499.01818,2.909941,1.010348,285.63608612804876,0.09142133207665724,,
125,12.5,0.608132,1499.130113,2.944927,1.021148,285.6574148246951,0.09252048382029532,,
126,12.6,0.619591,1499.053927,2.954934,0.926938,285.6428976753049,0.09283487276154573,,
127,12.7,0.644955,1494.505488,2.996308,0.948421,284.7761981707317,0.09413471567703424,-59.02406699999983,
128,12.8,0.657958,1487.531461,3.018573,0.962433,283.4473058307927,0.09483421300659756,,
129,12.9,0.663601,1481.029963,3.057541,0.908975,282.20845331554875,0.09605846685516808,,
130,13.0,0.672514,1466.318182,3.099305,0.960031,279.4051413871951,0.09737056236255107,,
131,13.1,0.677582,1449.635811,3.146252,0.974161,276.2263359375,0.0988454916745209,,
132,13.2,0.69083,1425.434941,3.205451,1.158683,271.6148896722561,0.10070534087338989,,1433.5945342500002
133,13.3,0.700562,1392.989203,3.22408,1.104055,265.4323938643293,0.10129060634621426,,
134,13.4,0.705783,1355.358057,3.275506,1.074412,258.2618248856707,0.1029062519635564,,
135,13.5,0.706487,1316.219383,3.323328,1.105451,250.803998285061,0.104408671065033,,
136,13.6,0.709718,1259.021787,3.373794,1.226101,239.9050661204268,0.10599415645617344,,
137,13.7,0.70132,1181.86404,3.420288,1.241822,225.2027515243902,0.10745485391140434,-1437.8535225,
138,13.8,1.010775,257.256025,3.596223,1.667514,49.019821836890245,0.11298218661639964,,
139,13.9,1.150634,-4.950339,3.801069,2.181862,0.9432810594512194,0.11941781338360039,,
140,14.0,1.147848,-4.469571,3.788443,2.01928,0.8516713033536585,0.11902114357524349,,
141,14.1,1.152621,-4.628092,3.780893,1.871802,0.8818772865853658,0.11878394596292806,,
142,14.2,1.143064,-4.212645,3.781909,1.691918,0.8027143673780488,0.11881586553565819,,-4.25898825
143,14.3,1.144072,-3.725645,3.783433,1.644737,0.7099171112804878,0.11886374489475339,,
144,14.4,1.14127,-3.19292,3.806053,1.558131,0.6084070121951219,0.11957439522463086,,
145,14.5,1.143603,-5.294632,3.787744,1.363864,1.0088856707317073,0.11899918316054038,,
146,14.6,1.143519,-5.697959,3.80393,1.269243,1.085739138719512,0.1195076971410619,,
147,14.7,1.147133,-5.390084,3.795938,1.10754,1.0270739329268292,0.11925661325793277,-1.3100247500000002,
148,14.8,1.150132,-4.192312,3.799444,0.630776,0.7988399390243902,0.11936676091737355,,
149,14.9,1.1464,-5.595921,3.799343,-0.001306,1.0662959222560975,0.11936358781024191,,
150,15.0,1.153737,-5.528519,3.798113,0.028133,1.0534525533536585,0.11932494502042099,,
151,15.1,1.14067,-4.286202,3.79148,0.028557,0.8167305640243903,0.11911655670750865,,
152,15.2,1.145855,-5.28124,3.780833,-0.002141,1.0063338414634146,0.11878206094879046,,-5.569013
153,15.3,1.144021,-7.180091,3.800437,0.04408,1.3681575838414635,0.11939795790135094,,
154,15.4,1.1407,-5.58614,3.791159,-0.039707,1.0644321646341464,0.11910647188187246,,
155,15.5,1.150397,-4.334245,3.799324,0.036727,0.8258850990853659,0.11936299088909834,,
156,15.6,1.152415,-2.821975,3.790157,-0.040848,0.5377238948170732,0.11907499214577444,,
157,15.7,1.139048,-4.571242,3.784843,-0.034739,0.8710445884146341,0.11890804272698713,,
158,15.8,1.139483,-2.1739,3.785342,-0.034924,0.41423399390243903,0.11892371976123155,,
-3,,,,,,,,,
