,Time_s,Ext_Disp_mm,Force_N,Globe_Disp_1_mm,Globe_Disp_2_mm,Stress_Mpa,Strain_mm/mm,DerivitiveForce,AveragedSamples
17,1.7,0.000304,11.701501,0.152221,,2.50460209760274,0.0047127244582043345,15.108765249999996,
18,1.8,-0.006481,13.829502,0.199924,,2.9600817636986303,0.0061895975232198145,,
19,1.9,-0.000344,14.182648,0.208924,,3.0356695205479456,0.006468235294117648,,
20,2.0,-0.002147,17.407576,0.244746,,3.7259366438356163,0.007577275541795666,,
21,2.1,0.000312,19.273162,0.280553,,4.1252487157534246,0.008685851393188854,,
22,2.2,0.004203,22.020829,0.308516,,4.713362371575343,0.009551578947368423,,20.33945275
23,2.3,-0.000526,22.656244,0.348917,,4.849367294520548,0.010802383900928792,,
24,2.4,-0.005833,19.550278,0.346507,,4.184562928082192,0.010727770897832818,,
25,2.5,-0.005215,15.745715,0.349993,,3.3702300941780825,0.010835696594427246,,
26,2.6,-0.002633,14.292762,0.367617,,3.0592384417808223,0.011381331269349848,,
27,2.7,0.000782,13.398289,0.32837,,2.8677844606164387,0.010166253869969041,1.7267127500000008,
28,2.8,0.001701,14.803307,0.359307,,3.168516053082192,0.01112405572755418,,
29,2.9,-0.002836,16.994039,0.3657,,3.637422731164384,0.011321981424148609,,
30,3.0,-0.008922,20.768149,0.35662,,4.445237371575343,0.011040866873065016,,
31,3.1,-0.002018,20.94623,0.304595,,4.483354023972603,0.009430185758513933,,
32,3.2,0.002066,21.448924,0.265099,,4.590951198630138,0.008207399380804954,,22.0661655
33,3.3,0.00469,25.101359,0.262742,,5.37272238869863,0.008134427244582043,,
34,3.4,-0.005632,28.073795,0.284637,,6.008945847602741,0.008812291021671827,,
35,3.5,0.001417,28.521863,0.277243,,6.1048508133561645,0.008583374613003097,,
36,3.6,-0.003321,29.230041,0.285392,,6.256430008561644,0.008835665634674923,,
37,3.7,-0.000436,30.457039,0.285806,,6.519058005136987,0.008848482972136223,14.795842249999996,
38,3.8,0.004206,33.63859,0.323143,,7.20004066780822,0.010004427244582045,,
39,3.9,-0.001793,34.820874,0.35504,,7.453098030821919,0.010991950464396286,,
40,4.0,-0.003956,36.228187,0.380144,,7.75432084760274,0.011769164086687307,,
41,4.1,-0.004769,37.257913,0.380155,,7.97472452910959,0.01176950464396285,,
42,4.2,-0.000982,36.774285,0.371431,,7.871208261986301,0.011499411764705883,,36.86200775
