,Time_s,Ext_Disp_mm,Force_N,Globe_Disp_1_mm,Globe_Disp_2_mm,Stress_Mpa,Strain_mm/mm,DerivitiveForce,AveragedSamples
7,0.7,-0.010943,-1.184985,0.009026,0.077568,0.2645351043643263,0.0002763625229638702,10.4340275,
8,0.8,-0.012557,1.853946,-0.002621,0.008924,0.41387342337314426,8.025107164727496e-05,,
9,0.9,0.001129,2.112538,0.011733,0.047417,0.47160129478736457,0.0003592467850581752,,
10,1.0,-0.001846,6.642053,-0.001802,0.020848,1.4827666034155595,5.5174525413349666e-05,,
11,1.1,0.002937,8.729015,0.047238,0.202681,1.9486583324031699,0.0014463563992651563,,
12,1.2,-0.003209,10.125316,0.130665,0.531233,2.2603674517245222,0.0040007654623392536,,10.00210725
13,1.3,0.000707,14.512045,0.174267,0.698352,3.239657327826766,0.005335793018983467,,
14,1.4,0.003974,16.111972,0.244902,0.905732,3.596823752650965,0.007498530312308635,,
15,1.5,-0.00357,19.887099,0.290852,1.248138,4.4395800870632876,0.008905450091855482,,
16,1.6,-0.010111,24.498405,0.327868,1.389522,5.469004353164415,0.010038824249846909,,
17,1.7,-0.004327,24.83625,0.370904,1.497654,5.544424600959927,0.011356521739130437,12.43451925,
18,1.8,-0.003056,14.4269,0.387873,1.624101,3.220649626074338,0.011876086956521741,,
19,1.9,-0.005836,13.483629,0.390999,1.582225,3.010074561893068,0.011971800367421924,,
20,2.0,-0.005163,16.21813,0.378556,1.590306,3.62052237972988,0.011590814451928966,,
21,2.1,-0.003689,18.352625,0.358634,1.314323,4.09702533764929,0.01098083282302511,,
22,2.2,-0.008458,25.189066,0.294752,0.709973,5.6231869628306725,0.009024862216778937,,22.436626500000003
23,2.3,-0.003803,29.986685,0.234692,0.263732,6.694203594151132,0.007185915492957748,,
24,2.4,-0.006469,37.714705,0.242973,-0.004164,8.419400602745842,0.007439467238211881,,
25,2.5,-0.00722,40.345812,0.274695,-0.068612,9.00676682665476,0.008410747091243112,,
26,2.6,-0.007195,47.693119,0.289399,-0.150808,10.646973769393904,0.008860961420698104,,
27,2.7,-0.008657,55.282979,0.284357,-0.351187,12.341328050005579,0.008706582976117577,70.2859695,
28,2.8,0.000841,61.222249,0.283899,-0.421465,13.66720593816274,0.008692559706062463,,
29,2.9,-0.000939,71.024649,0.302754,-0.376456,15.855485880120545,0.009269871402327007,,
30,3.0,-0.007585,79.984793,0.354681,-0.119026,17.855741265766266,0.01085979791794244,,
31,3.1,0.006797,88.555616,0.396332,0.143881,19.769084942515903,0.012135088793631356,,
32,3.2,-0.00537,97.205202,0.445494,0.618307,21.700011608438437,0.013640355174525415,,92.722596
33,3.3,0.001351,105.144773,0.508678,1.123997,23.472435093202364,0.015574954072259645,,
34,3.4,-0.004042,111.646719,0.542218,1.246534,24.923924321910924,0.01660189834660135,,
35,3.5,0.001044,120.777673,0.580761,1.280063,26.962311195445913,0.017782026944274342,,
36,3.6,-0.009748,130.767627,0.602872,1.301685,29.192460542471256,0.018459032455603184,,
37,3.7,0.00375,138.130634,0.665677,1.582075,30.836172340663012,0.020382026944274344,88.66658825,
38,3.8,0.001487,146.691929,0.666361,1.58488,32.74738899430739,0.020402969993876304,,
39,3.9,0.004284,154.230722,0.715397,1.722145,34.43034311865163,0.021904378444580527,,
40,4.0,0.002681,164.445401,0.729476,1.572112,36.71065989507757,0.022335456215554196,,
41,4.1,0.007424,177.506068,0.770789,1.569191,39.62631275812032,0.02360039804041641,,
42,4.2,0.006371,187.158221,0.820823,1.558129,41.78105167987498,0.025132363747703616,,181.38918425
43,4.3,0.008508,196.447047,0.836888,1.378034,43.85468177251925,0.025624249846907535,,
44,4.4,0.013105,206.61015,0.890852,1.445273,46.12348476392454,0.027276546233925295,,
45,4.5,0.012623,217.917303,0.943392,1.517238,48.64768456300926,0.028885241886099207,,
46,4.6,0.012716,230.804222,0.97014,1.533518,51.52455006139078,0.02970422535211268,,
47,4.7,0.011845,239.877236,1.016734,1.468755,53.5500024556312,0.03113086344151868,99.64901224999997,
48,4.8,0.015438,252.057119,1.056932,1.619149,56.2690298024333,0.03236166564605022,,
49,4.9,0.011996,259.440384,1.088171,1.561022,57.91726398035494,0.03331815676668708,,
50,5.0,0.011913,268.398565,1.113868,1.606879,59.91708114744949,0.034104960195958364,,
51,5.1,0.018495,276.61123,1.123267,1.462923,61.75046991851768,0.034392743417023884,,
52,5.2,0.011073,282.471598,1.163298,1.43526,63.058733787253026,0.03561843233312921,,281.03819649999997
53,5.3,0.025205,296.671393,1.177335,1.417491,66.22868467462887,0.036048224127372935,,
54,5.4,0.013339,309.978724,1.223046,1.391155,69.19940261189863,0.03744782608695653,,
55,5.5,0.014741,324.246563,1.27197,1.368488,72.38454358745395,0.038945805266380897,,
56,5.6,0.024198,337.394263,1.317197,1.448329,75.31962562786025,0.04033058787507655,,
57,5.7,0.019413,347.368895,1.36415,1.442938,77.54635450385086,0.04176821800367422,119.12319000000008,
58,5.8,0.017888,360.252294,1.400889,1.449218,80.42243420024555,0.04289311083894673,,
59,5.9,0.020083,372.447255,1.434692,1.438419,83.14482754771737,0.043928107777097374,,
60,6.0,0.031455,383.416579,1.47138,1.475073,85.59361067083378,0.0450514390691978,,
61,6.1,0.030511,394.179263,1.500176,1.587373,87.99626364549613,0.04593312921004287,,
62,6.2,0.03651,406.358429,1.524156,1.503473,90.71513092979126,0.04666736068585426,,400.16138650000005
63,6.3,0.031834,416.691275,1.545765,1.537969,93.02182721285857,0.047328995713410905,,
64,6.4,0.03822,430.064695,1.594082,1.550682,96.00729880567026,0.048808389467238214,,
