,Heat Treatment,Test Number,Yeild Strength,Ultimate Tensile,Ext Modululs,Glob Modulus
0,AR,T1,175.8654561635097,330.34889864180735,134264.98784416195,4487.8268032130645
1,AR,T2,151.36699712746272,317.00254011725275,140023.8656322664,2139.3043772322617
2,AR,T3,151.9168410013896,322.22514104612793,214392.42733671828,7891.6916821676905
3,HT1,T1,59.56276698842251,284.8280782046568,258967.7748601672,2679.256957412619
4,HT1,T2,92.4233888161233,279.97334986781397,126348.97180114598,1800.0176846122054
5,HT1,T3,94.81577380770433,285.93247941690345,57698.3871575805,2419.1007216667376
6,HT2,T1,63.86124578015904,271.4197621848669,-139360.68717470334,8460.542354226947
7,HT2,T2,63.14193040332145,268.73499579060785,637667.9328308315,2264.924567530801
8,HT2,T3,68.52061957408945,273.39341182795164,115785.47624479157,1547.1297355219442
9,HT3,T1,65.40766550066485,266.5738013329528,44225.224486395025,1987.7046280526718
10,HT3,T2,76.78619607455146,258.67068680694246,1763.134169873326,842.7820304193937
11,HT3,T3,62.02596765240576,258.3676589495425,61930.79144369647,1404.4218884432178
12,HT4,T1,43.94575200691948,237.9784916678568,41623.555135146795,3127.5672111863755
13,HT4,T2,39.91831269316986,228.92758172612278,36601.64440875179,1225.6251292878342
14,HT4,T3,42.638723012111,225.73054876255998,-106815.72166286579,1656.0325594379924
