,Heat Treatment,Test Number,Yeild Strength,Ultimate Tensile,Ext Modululs,Glob Modulus
0,AR,T1,118.74430323977045,233.56220057615033,101961.58292081,4551.86956081943
1,AR,T2,136.25702465893315,230.63812767228842,60134.15357799541,3826.7698666102947
2,AR,T3,134.14559515823223,227.16649517233492,155532.24558170722,3298.575817550129
3,HT1,T1,218.6688293261544,372.58373668200494,1682215.7784878341,5168.058737053454
4,HT1,T2,229.71783733605568,372.86675318580484,68145.46337197744,4651.642947258398
5,HT1,T3,235.7846352345853,362.891254374104,52955.681031266715,11045.546649420789
6,HT2,T1,183.76930099057958,259.8899143878853,72750.90328026582,3572.2344788416276
7,HT2,T2,217.8359377708169,264.72832084708455,74722.94890095938,4161.119110724157
8,HT2,T3,207.69540266224703,258.69320065302423,-72086.53537531146,5426.545224243036
9,HT3,T1,198.41275386085542,278.5676196548547,83390.75468303928,4879.242804514936
10,HT3,T2,203.5904964529979,256.2339387489271,73455.08663424828,5489.797614083962
11,HT3,T3,167.35168105258856,247.08562902144658,69510.76556936806,5475.318922987963
12,HT4,T1,214.87931370742862,285.02197691262234,-78271.72888953944,5399.554351271214
13,HT4,T2,235.71223720977534,272.5419307398757,74438.98772343098,5778.27539770783
14,HT4,T3,209.33355495785216,252.79731971488977,71805.63530699704,5033.608031751355
