,Heat Treatment,Test Number,Yeild Strength,Ultimate Tensile,Ext Modululs,Glob Modulus
0,AR,T1,191.8676990346811,234.14081722907346,1270624.7419212642,1916.1703850104511
1,AR,T2,96.07207016135945,261.20817102064325,2919180.589011158,1470.9701181889136
2,AR,T3,112.18684374634076,257.82481625068186,1281139.46543822,1507.0482766084094
3,HT1,T1,35.966805112004444,109.26324913419285,2201.8970344443137,991.4657680212744
4,HT1,T2,72.75254885139881,206.70546244712799,100253.0086509842,1485.886284526115
5,HT1,T3,74.52134107862658,206.90028999153597,194224.76566406057,1533.6945896907926
6,HT2,T1,93.77861591990163,208.89633236298513,112486.79959311076,1744.813092556213
7,HT2,T2,106.91737051751416,206.3725864629633,123551.28013330864,1889.2031534519804
8,HT2,T3,109.22200330662298,203.00042475100298,38126.15292533764,1502.7363643436704
9,HT3,T1,93.33690364227513,263.65700153683844,538605.7374480669,2339.6970111576406
10,HT3,T2,91.30603891229877,269.07276260288023,67594.85924996034,2173.803595872222
11,HT3,T3,182.6355255178939,267.818112317371,90775.03202904765,2953.565378906945
12,HT4,T1,134.12912922760657,262.12817692764776,86045.67601157699,2865.913897022382
13,HT4,T2,170.02094130247445,266.90384182894513,86826.94115656221,2667.2647560907762
14,HT4,T3,185.71264377709025,271.0959132183822,74044.84406499316,2547.4027443929235
